,Drug_name,Disease,Generic_name,Brand_names,Drug_class,Rx_OTC,Pregnancy,CSA,Alcohol
0,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic,Advil,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
1,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, Motrin,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
2,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, Advil Liqui-Gels,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
3,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, IBU-200,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
4,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, Motrin IB,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
5,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, A-G Profen,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
6,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, Nuprin,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
7,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, Proprinal,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
8,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, Actiprofen,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
9,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, Addaprin,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
10,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, Advil Children's,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
11,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, Genpril,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
12,ibuprofen,ACL Injury (Muscle Pain),ibuprofen systemic, Midol IB,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
13,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic,Tylenol,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
14,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Paracetamol,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
15,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Tylenol Arthritis Pain,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
16,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Tylenol 8 Hour,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
17,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Dolono,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
18,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Mapap,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
19,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Abenol,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
20,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Acephen,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
21,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Actamin,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
22,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Actimol Children's,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
23,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Altenol,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
24,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Aminofen,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
25,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Anacin Aspirin Free,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
26,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Apra,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
27,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Atasol,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
28,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Cetafen,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
29,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Febrol Solution,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
30,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Feverall,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
31,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Genapap,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
32,acetaminophen,ACL Injury (Muscle Pain),acetaminophen systemic, Genebs,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
